Name,Email,Phone,Company,Role,Location,LinkedIn,Website,Notes,Tags,Relationship Type,Next Follow-Up,Last Contact,Created At,Birthday
Peter Madsen,peter.madsen@netresearchg.de,+49 177 4714296,Netresearch GmbH,Community Manager,"Leipzig, Germany",https://linkedin.com/in/peter-madsen,,,TYPO3;Solr,Community,,2026-01-02,2025-01-19T16:44:14.309Z,
Michael Lorenz,michael.lorenz@hey.com,,,Head of IT,"Dortmund, Germany",https://linkedin.com/in/michael-lorenz,,,Open Source,Community,2026-01-30,2026-01-14,2025-01-29T16:44:14.309Z,1990-06-09
Karsten Dupont,karsten.dupont@apachesolrfo.de,+49 179 5697323,Apache Solr Foundation,Frontend Developer,Remote,,https://karstendupont.dev,,Community;Mentor,Personal,2026-02-08,2025-12-28,2025-04-20T15:44:14.309Z,--12-27
Jonas Kowalski,jonas.kowalski@aoegmbh.de,,AOE GmbH,System Administrator,"Wiesbaden, Germany",,https://jonaskowalski.dev,,TYPO3;Partner;Speaker,Community,2026-02-24,2025-12-17,2025-07-31T15:44:14.309Z,
Lukas Bonnet,lukas.bonnet@torqitgmbh.de,+49 168 4834380,Torq IT GmbH,Technical Consultant,"Cologne, Germany",https://linkedin.com/in/lukas-bonnet,,,Partner;Backend;Open Source,Personal,2026-02-05,2025-12-11,2025-01-04T16:44:14.309Z,1968-04-24
Marco Lehmann,marco.lehmann@webfactorygm.de,,Webfactory GmbH,TYPO3 Developer,"Bonn, Germany",https://linkedin.com/in/marco-lehmann,,,TYPO3;Frontend;Mentor,Client,2026-02-20,2026-01-25,2025-03-01T16:44:14.309Z,
Zoran Eriksson,zoran.eriksson@stadtfrankfu.de,+49 159 1113265,Stadt Frankfurt,Scrum Master,"Frankfurt, Germany",https://linkedin.com/in/zoran-eriksson,,,Client,Personal,2026-02-12,2025-12-31,2025-10-19T15:44:14.309Z,
Sebastian Scholz,sebastian.scholz@gmail.com,+49 168 3144042,,Open Source Evangelist,"Prague, Czech Republic",,https://sebastianscholz.dev,,dkd;Partner;Mentor,Community,2026-02-28,2025-12-18,2025-05-16T15:44:14.309Z,
Soren Fuchs,soren.fuchs@b13gmbh.de,+49 153 5621452,b13 GmbH,Head of IT,"Linz, Austria",https://linkedin.com/in/soren-fuchs,https://sorenfuchs.dev,,TYPO3;Community;Friend,Personal,2026-02-25,2025-12-26,2025-09-21T15:44:14.309Z,
Gabriele Braun,gabriele.braun@universitatf.de,+49 151 9866517,Universitat Frankfurt,Solutions Architect,"Frankfurt, Germany",https://linkedin.com/in/gabriele-braun,,,Client;Frontend,Professional,2026-01-30,2026-01-13,2025-09-12T15:44:14.309Z,
Marco Wagner,marco.wagner@techventures.de,,TechVentures GmbH,Marketing Director,"Munich, Germany",https://linkedin.com/in/marco-wagner,,,Client;Friend,Client,2026-02-12,2025-12-13,2025-02-22T16:44:14.309Z,1987-07-27
Petra Muller,petra.muller@pixelantab.de,,Pixelant AB,Solutions Architect,"Stockholm, Sweden",https://linkedin.com/in/petra-muller,,,TYPO3,Personal,2026-02-05,2025-12-22,2025-09-01T15:44:14.309Z,
